"complains","seconds_of_use","frequency_of_use","customer_value","distinct_called_numbers","status","churn"
"complaint",5513,92,337.725,22,"active","churn"
"no complaint",2535,16,102.04,12,"active","non-churn"
"no complaint",2685,35,131.4,14,"non-active","churn"
"no complaint",1963,38,188.04,29,"non-active","churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",1363,19,55.28,4,"active","non-churn"
"no complaint",6480,91,181.775,20,"active","non-churn"
"no complaint",323,1,13.1,2,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15770,232,720.09,78,"active","non-churn"
"no complaint",6660,110,1492.65,31,"active","non-churn"
"no complaint",3413,76,157.005,26,"active","non-churn"
"no complaint",1360,38,179.92,18,"non-active","non-churn"
"no complaint",2475,47,869.49,21,"active","non-churn"
"complaint",1010,30,883.8,9,"active","churn"
"no complaint",1263,33,89.9,66,"active","non-churn"
"no complaint",395,19,32.13,5,"non-active","non-churn"
"no complaint",520,4,48.1,1,"non-active","non-churn"
"no complaint",920,26,96.57,11,"active","non-churn"
"no complaint",2920,55,123,21,"active","non-churn"
"no complaint",1390,20,157.95,12,"active","non-churn"
"no complaint",6088,135,771.265,40,"active","non-churn"
"no complaint",8628,165,384.825,38,"active","non-churn"
"no complaint",2548,39,199.48,17,"active","non-churn"
"no complaint",4085,34,996.76,8,"active","non-churn"
"complaint",1183,13,53.82,5,"non-active","churn"
"no complaint",4125,68,202.185,17,"active","non-churn"
"no complaint",73,2,25.875,4,"active","non-churn"
"no complaint",2208,57,1708.425,24,"active","non-churn"
"no complaint",3953,63,220.88,35,"active","non-churn"
"no complaint",2148,55,121.165,33,"active","non-churn"
"no complaint",3530,79,264.36,28,"active","non-churn"
"no complaint",2115,36,1218.04,18,"active","non-churn"
"no complaint",8870,118,927.52,43,"active","non-churn"
"no complaint",13528,166,547.76,44,"active","non-churn"
"no complaint",4270,80,174,25,"active","non-churn"
"no complaint",5673,92,281.925,12,"active","non-churn"
"no complaint",1993,51,105.76,17,"active","non-churn"
"no complaint",14895,222,812.68,32,"active","non-churn"
"no complaint",2850,24,2038.96,8,"active","non-churn"
"no complaint",15240,179,1359.855,30,"active","non-churn"
"no complaint",6255,83,989.52,26,"active","non-churn"
"no complaint",630,11,28.845,11,"active","non-churn"
"no complaint",465,11,70.92,8,"active","non-churn"
"no complaint",0,0,0,0,"active","churn"
"no complaint",7263,124,2051.415,43,"active","non-churn"
"no complaint",11220,151,490.84,47,"active","non-churn"
"no complaint",6473,72,771.525,37,"active","non-churn"
"complaint",710,44,96.93,17,"active","churn"
"no complaint",10190,90,257,42,"active","non-churn"
"complaint",5573,95,363.06,24,"active","churn"
"no complaint",2595,19,104.56,14,"active","non-churn"
"no complaint",2745,38,139.32,16,"active","churn"
"complaint",2023,41,210.56,31,"active","churn"
"no complaint",0,0,0,0,"active","churn"
"no complaint",1423,22,57.8,6,"active","non-churn"
"no complaint",6540,94,195.85,22,"active","non-churn"
"no complaint",383,4,27.175,4,"active","churn"
"no complaint",93,1,4.41,2,"active","non-churn"
"no complaint",15830,235,722.925,80,"active","non-churn"
"no complaint",6720,113,1517.985,33,"active","non-churn"
"no complaint",3473,79,159.84,28,"active","non-churn"
"no complaint",1420,41,202.44,20,"active","non-churn"
"no complaint",2535,50,894.825,23,"active","non-churn"
"complaint",1070,33,909.135,11,"active","non-churn"
"no complaint",1323,36,103.975,68,"active","non-churn"
"no complaint",455,22,57.465,7,"active","non-churn"
"no complaint",580,7,62.175,3,"active","non-churn"
"no complaint",980,29,121.905,13,"active","non-churn"
"no complaint",2980,58,145.52,23,"active","non-churn"
"no complaint",1450,23,183.285,14,"active","non-churn"
"complaint",6148,138,802.23,42,"active","non-churn"
"no complaint",8688,168,398.9,40,"active","non-churn"
"no complaint",2608,42,222,19,"active","non-churn"
"no complaint",4145,37,1019.28,10,"active","non-churn"
"complaint",1243,16,50.36,7,"active","churn"
"no complaint",4005,62,183.015,13,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2088,51,1657.755,20,"active","non-churn"
"no complaint",3833,57,175.05,31,"active","non-churn"
"no complaint",2028,49,114.235,29,"active","non-churn"
"no complaint",3410,73,246.735,24,"active","non-churn"
"no complaint",1995,30,1173,14,"active","non-churn"
"no complaint",8750,112,882.48,39,"active","non-churn"
"no complaint",13408,160,542.72,40,"active","non-churn"
"no complaint",4150,74,168.96,21,"active","non-churn"
"no complaint",5553,86,253.755,8,"active","non-churn"
"no complaint",1873,45,76.72,13,"non-active","non-churn"
"no complaint",14775,216,863.595,28,"active","non-churn"
"no complaint",2730,18,1993.92,4,"active","non-churn"
"no complaint",15120,173,1309.185,26,"active","non-churn"
"no complaint",6135,77,944.48,22,"active","non-churn"
"no complaint",510,5,23.175,7,"non-active","non-churn"
"no complaint",345,5,20.25,4,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7143,118,2000.745,39,"active","non-churn"
"no complaint",11100,145,449.8,43,"active","non-churn"
"no complaint",6353,66,720.855,33,"active","non-churn"
"no complaint",590,38,46.26,13,"non-active","churn"
"no complaint",10070,84,253.85,38,"active","non-churn"
"complaint",5453,89,312.39,20,"active","churn"
"no complaint",2475,13,99.52,10,"active","non-churn"
"complaint",2625,32,119.565,12,"non-active","churn"
"no complaint",1903,35,165.52,27,"non-active","churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",1303,16,52.76,2,"active","non-churn"
"no complaint",6420,88,167.7,18,"active","non-churn"
"no complaint",263,1,10.56,1,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15710,229,717.255,76,"active","non-churn"
"no complaint",6600,107,1467.315,29,"active","non-churn"
"no complaint",3353,73,154.17,24,"active","non-churn"
"no complaint",1300,35,157.4,16,"non-active","non-churn"
"no complaint",2415,44,844.155,19,"active","non-churn"
"no complaint",950,27,858.465,7,"active","non-churn"
"no complaint",1203,30,75.825,64,"active","non-churn"
"no complaint",335,16,15.795,3,"non-active","non-churn"
"no complaint",0,0,22.5,0,"non-active","non-churn"
"no complaint",860,23,71.235,9,"active","non-churn"
"no complaint",2860,52,116.48,19,"active","non-churn"
"no complaint",1330,17,132.615,10,"active","non-churn"
"no complaint",6028,132,740.3,38,"active","non-churn"
"no complaint",8568,162,370.75,36,"active","non-churn"
"no complaint",2488,36,176.96,15,"active","non-churn"
"no complaint",4025,31,974.24,6,"active","non-churn"
"complaint",1123,10,50.985,3,"non-active","churn"
"no complaint",4145,67,225.54,19,"active","non-churn"
"no complaint",93,1,49.23,6,"non-active","non-churn"
"no complaint",2228,56,1731.78,26,"active","non-churn"
"no complaint",3973,62,199.575,37,"active","non-churn"
"no complaint",2168,54,149.71,35,"active","non-churn"
"no complaint",3550,78,285.12,30,"active","non-churn"
"no complaint",2135,35,1238.8,20,"active","non-churn"
"no complaint",8890,117,948.28,45,"active","non-churn"
"no complaint",13548,165,560.52,46,"active","non-churn"
"no complaint",4290,79,194.76,27,"active","non-churn"
"no complaint",5693,91,305.28,14,"active","non-churn"
"no complaint",2013,50,126.52,19,"non-active","non-churn"
"no complaint",14915,221,833.44,34,"active","non-churn"
"no complaint",2870,23,2059.72,10,"active","non-churn"
"no complaint",15260,178,1383.21,32,"active","non-churn"
"no complaint",6275,82,1010.28,28,"active","non-churn"
"no complaint",650,10,43.2,13,"non-active","non-churn"
"no complaint",485,10,94.275,10,"non-active","non-churn"
"no complaint",0,0,13.5,0,"non-active","churn"
"no complaint",7283,123,2074.77,45,"active","non-churn"
"no complaint",11240,150,511.6,49,"active","non-churn"
"no complaint",6493,71,794.88,39,"active","non-churn"
"no complaint",730,43,120.285,19,"non-active","churn"
"no complaint",10210,89,267.475,44,"active","non-churn"
"no complaint",5593,94,386.415,26,"active","churn"
"no complaint",2615,18,117.32,16,"active","non-churn"
"complaint",2765,37,180.09,18,"non-active","churn"
"no complaint",2043,40,231.32,33,"non-active","churn"
"no complaint",0,0,12,0,"non-active","churn"
"no complaint",1443,21,70.56,8,"active","non-churn"
"no complaint",6560,93,208.825,24,"active","non-churn"
"complaint",403,3,40.15,6,"non-active","churn"
"no complaint",0,0,10.5,0,"active","non-churn"
"no complaint",15850,234,737.28,82,"active","non-churn"
"no complaint",6740,112,1541.34,35,"active","non-churn"
"no complaint",3493,78,183.195,30,"active","non-churn"
"no complaint",1440,40,223.2,22,"non-active","non-churn"
"no complaint",2555,49,918.18,25,"active","non-churn"
"no complaint",1090,32,932.49,13,"active","non-churn"
"no complaint",1343,35,116.95,70,"active","non-churn"
"no complaint",475,21,80.82,9,"non-active","non-churn"
"no complaint",600,6,75.15,5,"non-active","non-churn"
"no complaint",1000,28,145.26,15,"active","non-churn"
"no complaint",3000,57,166.28,25,"active","non-churn"
"no complaint",1470,22,206.64,16,"active","non-churn"
"no complaint",6168,137,830.775,44,"active","non-churn"
"no complaint",8708,167,411.875,42,"active","non-churn"
"no complaint",2628,41,242.76,21,"active","non-churn"
"no complaint",4165,36,1040.04,12,"active","non-churn"
"complaint",1263,15,63.12,9,"active","churn"
"no complaint",3985,63,182.16,11,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2068,52,1634.4,18,"active","non-churn"
"no complaint",3813,58,212.905,29,"active","non-churn"
"no complaint",2008,50,113.19,27,"active","non-churn"
"no complaint",3390,74,223.38,22,"active","non-churn"
"no complaint",1975,31,1152.24,12,"active","non-churn"
"no complaint",8730,113,861.72,37,"active","non-churn"
"no complaint",13388,161,541.96,38,"active","non-churn"
"no complaint",4130,75,168.2,19,"active","non-churn"
"no complaint",5533,87,252.9,6,"active","non-churn"
"no complaint",1853,46,75.96,11,"non-active","non-churn"
"no complaint",14755,217,746.88,26,"active","non-churn"
"no complaint",2710,19,1973.16,2,"active","non-churn"
"no complaint",15100,174,1285.83,24,"active","non-churn"
"no complaint",6115,78,923.72,20,"active","non-churn"
"no complaint",490,6,22.32,5,"non-active","non-churn"
"no complaint",325,6,14.895,2,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7123,119,1977.39,37,"active","non-churn"
"no complaint",11080,146,449.04,41,"active","non-churn"
"no complaint",6333,67,697.5,31,"active","non-churn"
"no complaint",570,39,27.405,11,"non-active","churn"
"no complaint",10050,85,253.375,36,"active","non-churn"
"no complaint",5433,90,289.035,18,"active","churn"
"no complaint",2455,14,98.76,8,"active","non-churn"
"complaint",2605,33,118.71,10,"non-active","churn"
"no complaint",1883,36,144.76,25,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1283,17,52,5,"active","non-churn"
"no complaint",6400,89,162.225,16,"active","non-churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15690,230,716.4,74,"active","non-churn"
"no complaint",6580,108,1443.96,27,"active","non-churn"
"no complaint",3333,74,153.315,22,"active","non-churn"
"no complaint",1280,36,136.64,14,"non-active","non-churn"
"no complaint",2395,45,820.8,17,"active","non-churn"
"no complaint",930,28,835.11,5,"active","non-churn"
"no complaint",1183,31,62.85,62,"active","non-churn"
"no complaint",315,17,14.94,1,"non-active","non-churn"
"no complaint",0,0,10,0,"non-active","non-churn"
"no complaint",840,24,47.88,7,"active","non-churn"
"no complaint",2840,53,115.72,17,"active","non-churn"
"no complaint",1310,18,109.26,8,"active","non-churn"
"no complaint",6008,133,711.755,36,"active","non-churn"
"no complaint",8548,163,357.775,34,"active","non-churn"
"no complaint",2468,37,156.2,13,"active","non-churn"
"no complaint",4005,32,953.48,4,"active","non-churn"
"no complaint",1103,11,50.13,1,"active","churn"
"no complaint",4325,75,228,21,"active","non-churn"
"no complaint",273,9,80.19,8,"non-active","non-churn"
"no complaint",2408,64,1566.88,28,"active","non-churn"
"no complaint",4153,70,281.765,39,"active","non-churn"
"no complaint",2348,62,187.55,37,"active","non-churn"
"no complaint",3730,86,312.64,32,"active","non-churn"
"no complaint",2315,43,1266.32,22,"active","non-churn"
"no complaint",9070,125,975.8,47,"active","non-churn"
"no complaint",13728,173,588.04,48,"active","non-churn"
"no complaint",4470,87,222.28,29,"active","non-churn"
"no complaint",5873,99,298.88,16,"active","non-churn"
"complaint",2193,58,154.04,21,"non-active","non-churn"
"no complaint",15095,229,860.96,36,"active","non-churn"
"no complaint",3050,31,2087.24,12,"active","non-churn"
"no complaint",15440,186,1414.17,34,"active","non-churn"
"no complaint",6455,90,1037.8,30,"active","non-churn"
"no complaint",830,18,74.16,15,"non-active","non-churn"
"no complaint",665,18,111.32,12,"non-active","non-churn"
"no complaint",0,0,36,0,"non-active","churn"
"no complaint",7463,131,2105.73,47,"active","non-churn"
"no complaint",11420,158,336.95,51,"active","non-churn"
"no complaint",6673,79,825.84,41,"active","non-churn"
"complaint",910,51,151.245,21,"non-active","churn"
"complaint",10390,97,170.805,46,"active","non-churn"
"no complaint",5773,102,417.375,28,"active","non-churn"
"no complaint",2795,26,144.84,18,"active","non-churn"
"complaint",2945,45,187.6,20,"non-active","churn"
"no complaint",2223,48,258.84,35,"non-active","churn"
"no complaint",88,6,35.76,6,"non-active","churn"
"no complaint",1623,29,98.08,10,"active","non-churn"
"no complaint",6740,101,135.615,26,"active","non-churn"
"complaint",583,11,57.35,8,"non-active","churn"
"no complaint",293,8,22.515,6,"active","non-churn"
"no complaint",16030,242,768.24,84,"active","non-churn"
"no complaint",6920,120,1572.3,37,"active","non-churn"
"no complaint",3673,86,214.155,32,"active","non-churn"
"no complaint",1620,48,250.72,24,"non-active","non-churn"
"no complaint",2735,57,949.14,27,"active","non-churn"
"no complaint",1270,40,963.45,15,"active","non-churn"
"no complaint",1523,43,134.15,72,"active","non-churn"
"no complaint",655,29,111.78,11,"non-active","non-churn"
"no complaint",780,14,92.35,7,"non-active","non-churn"
"no complaint",1180,36,176.22,17,"active","non-churn"
"no complaint",3180,65,193.8,27,"active","non-churn"
"no complaint",1650,30,237.6,18,"active","non-churn"
"no complaint",6348,145,710.685,46,"active","non-churn"
"no complaint",8888,175,429.075,44,"active","non-churn"
"no complaint",2808,49,270.28,23,"active","non-churn"
"no complaint",4345,44,1067.56,14,"active","non-churn"
"no complaint",1443,23,90.64,11,"active","churn"
"no complaint",3805,55,173.7,9,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",1888,44,1603.44,16,"active","non-churn"
"no complaint",3633,50,202.565,27,"active","non-churn"
"no complaint",1828,42,102.85,25,"active","non-churn"
"no complaint",3210,66,192.42,20,"active","non-churn"
"no complaint",1795,23,1124.72,10,"active","non-churn"
"no complaint",8550,105,834.2,35,"active","non-churn"
"no complaint",13208,153,534.44,36,"active","non-churn"
"no complaint",3950,67,160.68,17,"active","non-churn"
"no complaint",5353,79,244.44,4,"active","non-churn"
"no complaint",1673,38,68.44,9,"non-active","non-churn"
"no complaint",14575,209,809.28,24,"active","non-churn"
"no complaint",2530,11,1945.64,7,"active","non-churn"
"no complaint",14920,166,1254.87,22,"active","non-churn"
"no complaint",5935,70,896.2,18,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",6943,111,1946.43,35,"active","non-churn"
"no complaint",10900,138,441.52,39,"active","non-churn"
"no complaint",6153,59,666.54,29,"active","non-churn"
"complaint",390,31,18.945,9,"non-active","churn"
"no complaint",9870,77,248.675,34,"active","non-churn"
"no complaint",5253,82,258.075,16,"active","churn"
"no complaint",2275,6,91.24,6,"active","non-churn"
"complaint",2425,25,110.25,8,"non-active","churn"
"complaint",1703,28,117.24,23,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",6220,81,157.525,14,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"complaint",0,0,0,0,"active","churn"
"no complaint",15510,222,707.94,72,"active","non-churn"
"no complaint",6400,100,1413,25,"active","non-churn"
"no complaint",3153,66,144.855,20,"active","non-churn"
"no complaint",1100,28,109.12,12,"non-active","non-churn"
"no complaint",2215,37,789.84,15,"active","non-churn"
"no complaint",750,20,804.15,3,"active","non-churn"
"no complaint",1003,23,45.65,60,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",660,16,30.42,5,"active","non-churn"
"no complaint",2660,45,108.2,15,"active","non-churn"
"no complaint",1130,10,78.3,6,"active","non-churn"
"no complaint",5828,125,673.915,34,"active","non-churn"
"no complaint",8368,155,340.575,32,"active","non-churn"
"no complaint",2288,29,128.68,11,"active","non-churn"
"no complaint",3825,24,1041.705,2,"active","non-churn"
"no complaint",0,0,0,0,"active","churn"
"no complaint",4245,73,234.81,20,"active","non-churn"
"no complaint",193,7,58.5,7,"non-active","non-churn"
"no complaint",2328,62,1741.05,27,"active","non-churn"
"no complaint",4073,68,255.255,38,"active","non-churn"
"no complaint",2268,60,161.04,36,"active","non-churn"
"no complaint",3650,84,330.03,31,"active","non-churn"
"no complaint",2235,41,1247.04,21,"active","non-churn"
"no complaint",8990,123,956.52,46,"active","non-churn"
"no complaint",13648,171,568.76,47,"active","non-churn"
"no complaint",4390,85,203,28,"active","non-churn"
"no complaint",5793,97,314.55,15,"active","non-churn"
"no complaint",2113,56,134.76,20,"non-active","non-churn"
"no complaint",15015,227,841.68,35,"active","non-churn"
"no complaint",2970,29,2067.96,11,"active","non-churn"
"no complaint",15360,184,1392.48,33,"active","non-churn"
"no complaint",6375,88,1018.52,29,"active","non-churn"
"no complaint",750,16,52.47,14,"non-active","non-churn"
"no complaint",585,16,103.545,11,"non-active","non-churn"
"no complaint",0,0,18,0,"non-active","churn"
"no complaint",7383,129,2084.04,46,"active","non-churn"
"no complaint",11340,156,519.84,50,"active","non-churn"
"no complaint",6593,77,804.15,40,"active","non-churn"
"complaint",830,49,129.555,20,"non-active","churn"
"no complaint",10310,95,272.625,45,"active","non-churn"
"no complaint",5693,100,395.685,27,"active","churn"
"no complaint",2715,24,125.56,17,"active","non-churn"
"complaint",2865,43,189.36,19,"non-active","churn"
"complaint",2143,46,239.56,34,"non-active","churn"
"no complaint",8,4,16.48,5,"non-active","churn"
"no complaint",1543,27,78.8,9,"active","non-churn"
"no complaint",6660,99,213.975,25,"active","non-churn"
"complaint",503,9,45.3,7,"non-active","churn"
"no complaint",213,6,15.285,5,"active","non-churn"
"no complaint",15950,240,746.55,83,"active","non-churn"
"no complaint",6840,118,1550.61,36,"active","non-churn"
"no complaint",3593,84,192.465,31,"active","non-churn"
"no complaint",1540,46,231.44,23,"non-active","non-churn"
"no complaint",2655,55,927.45,26,"active","non-churn"
"no complaint",1190,38,941.76,14,"active","non-churn"
"no complaint",1443,41,122.1,71,"active","non-churn"
"no complaint",575,27,90.09,10,"non-active","non-churn"
"no complaint",700,12,80.3,6,"non-active","non-churn"
"no complaint",1100,34,154.53,16,"active","non-churn"
"no complaint",3100,63,174.52,26,"active","non-churn"
"no complaint",1570,28,215.91,17,"active","non-churn"
"no complaint",6268,143,842.105,45,"active","non-churn"
"no complaint",8808,173,417.025,43,"active","non-churn"
"no complaint",2728,47,251,22,"active","non-churn"
"no complaint",4265,42,1048.28,13,"active","non-churn"
"complaint",1363,21,80.28,10,"active","churn"
"no complaint",3885,57,177.39,10,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",1968,46,1625.13,17,"active","non-churn"
"no complaint",3713,52,207.075,28,"active","non-churn"
"no complaint",1908,44,107.36,26,"active","non-churn"
"no complaint",3290,68,214.11,21,"active","non-churn"
"no complaint",1875,25,1144,11,"active","non-churn"
"no complaint",8630,107,853.48,36,"active","non-churn"
"no complaint",13288,155,537.72,37,"active","non-churn"
"no complaint",4030,69,163.96,18,"active","non-churn"
"no complaint",5433,81,248.13,5,"active","non-churn"
"no complaint",1753,40,71.72,10,"non-active","non-churn"
"no complaint",14655,211,738.64,25,"active","non-churn"
"no complaint",2610,13,1964.92,1,"active","non-churn"
"no complaint",15000,168,1276.56,23,"active","non-churn"
"no complaint",6015,72,915.48,19,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7023,113,1968.12,36,"active","non-churn"
"no complaint",10980,140,444.8,40,"active","non-churn"
"no complaint",6233,61,688.23,30,"active","non-churn"
"no complaint",470,33,22.635,10,"non-active","churn"
"no complaint",9950,79,250.725,35,"active","non-churn"
"complaint",5333,84,279.765,17,"active","churn"
"no complaint",2355,8,94.52,7,"active","non-churn"
"complaint",2505,27,113.94,9,"non-active","churn"
"no complaint",1783,30,136.52,24,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",6300,83,159.575,15,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15590,224,711.63,73,"active","non-churn"
"no complaint",6480,102,1434.69,26,"active","non-churn"
"no complaint",3233,68,148.545,21,"active","non-churn"
"no complaint",1180,30,128.4,13,"non-active","non-churn"
"no complaint",2295,39,811.53,16,"active","non-churn"
"no complaint",830,22,825.84,4,"active","non-churn"
"no complaint",1083,25,57.7,61,"active","non-churn"
"no complaint",215,11,10.17,3,"non-active","non-churn"
"no complaint",0,0,7.5,0,"non-active","non-churn"
"no complaint",740,18,38.61,6,"active","non-churn"
"no complaint",2740,47,111.48,16,"active","non-churn"
"no complaint",1210,12,99.99,7,"active","non-churn"
"no complaint",5908,127,700.425,35,"active","non-churn"
"no complaint",8448,157,352.625,33,"active","non-churn"
"no complaint",2368,31,147.96,12,"active","non-churn"
"no complaint",3905,26,945.24,3,"active","non-churn"
"no complaint",1003,5,45.36,4,"active","churn"
"no complaint",4665,75,298.8,30,"active","non-churn"
"no complaint",613,9,122.49,17,"non-active","non-churn"
"no complaint",2748,64,1805.04,37,"active","non-churn"
"no complaint",4493,70,333.465,48,"active","non-churn"
"no complaint",2688,62,239.25,46,"active","non-churn"
"no complaint",4070,86,350.24,41,"active","non-churn"
"no complaint",2655,43,1303.92,31,"active","non-churn"
"no complaint",9410,125,1013.4,56,"active","non-churn"
"no complaint",14068,173,625.64,57,"active","non-churn"
"no complaint",4810,87,259.88,38,"active","non-churn"
"no complaint",6213,99,378.54,25,"active","non-churn"
"no complaint",2533,58,191.64,30,"non-active","non-churn"
"no complaint",15435,229,898.56,45,"active","non-churn"
"no complaint",3390,31,2124.84,21,"active","non-churn"
"no complaint",15780,186,1456.47,43,"active","non-churn"
"no complaint",6795,90,1075.4,39,"active","non-churn"
"no complaint",1170,18,116.46,24,"non-active","non-churn"
"no complaint",1005,18,167.535,21,"non-active","non-churn"
"complaint",295,4,76.455,13,"non-active","churn"
"no complaint",7803,131,2148.03,56,"active","non-churn"
"no complaint",11760,158,576.72,60,"active","non-churn"
"no complaint",7013,79,868.14,50,"active","non-churn"
"no complaint",1250,51,193.545,30,"non-active","churn"
"no complaint",10730,97,308.175,55,"active","non-churn"
"no complaint",6113,102,459.675,37,"active","non-churn"
"no complaint",3135,26,182.44,27,"active","non-churn"
"no complaint",3285,45,253.35,29,"non-active","churn"
"complaint",2563,48,296.44,44,"non-active","churn"
"no complaint",428,6,73.36,15,"non-active","churn"
"no complaint",1963,29,135.68,19,"active","non-churn"
"no complaint",7080,101,249.525,35,"active","non-churn"
"no complaint",923,11,80.85,17,"non-active","churn"
"no complaint",633,8,36.615,15,"active","non-churn"
"no complaint",16370,242,810.54,93,"active","non-churn"
"no complaint",7260,120,1614.6,46,"active","non-churn"
"no complaint",4013,86,256.455,41,"active","non-churn"
"complaint",1960,48,288.32,33,"non-active","churn"
"no complaint",3075,57,991.44,36,"active","non-churn"
"no complaint",1610,40,1005.75,24,"active","non-churn"
"no complaint",1863,43,157.65,81,"active","non-churn"
"no complaint",995,29,154.08,20,"non-active","non-churn"
"no complaint",1120,14,115.85,16,"non-active","non-churn"
"no complaint",1520,36,218.52,26,"active","non-churn"
"no complaint",3520,65,231.4,36,"active","non-churn"
"no complaint",1990,30,279.9,27,"active","non-churn"
"no complaint",6688,145,920.315,55,"active","non-churn"
"no complaint",9228,175,452.575,53,"active","non-churn"
"no complaint",3148,49,307.88,32,"active","non-churn"
"no complaint",4685,44,1105.16,23,"active","non-churn"
"complaint",1783,23,128.24,20,"active","churn"
"no complaint",3465,55,158.4,10,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",1548,44,1561.14,7,"active","non-churn"
"no complaint",3293,50,183.865,18,"active","non-churn"
"no complaint",1488,42,84.15,16,"active","non-churn"
"no complaint",2870,66,150.12,11,"active","non-churn"
"no complaint",1455,23,1087.12,1,"active","non-churn"
"no complaint",8210,105,796.6,26,"active","non-churn"
"no complaint",12868,153,520.84,27,"active","non-churn"
"no complaint",3610,67,147.08,8,"active","non-churn"
"no complaint",5013,79,229.14,13,"active","non-churn"
"no complaint",1333,38,54.84,4,"non-active","non-churn"
"no complaint",14235,209,681.76,15,"active","non-churn"
"no complaint",2190,11,1908.04,5,"active","non-churn"
"no complaint",14580,166,1212.57,13,"active","non-churn"
"no complaint",5595,70,858.6,9,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",6603,111,1904.13,26,"active","non-churn"
"no complaint",10560,138,427.92,30,"active","non-churn"
"no complaint",5813,59,624.24,20,"active","non-churn"
"no complaint",50,2,2.34,1,"non-active","churn"
"no complaint",9530,77,240.175,25,"active","non-churn"
"no complaint",4913,82,224.775,7,"active","churn"
"no complaint",1935,6,77.64,2,"active","non-churn"
"no complaint",2085,25,94.95,9,"non-active","churn"
"complaint",1363,28,79.64,14,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",5880,81,149.025,5,"active","non-churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15170,222,692.64,63,"active","non-churn"
"no complaint",6060,100,1370.7,16,"active","non-churn"
"no complaint",2813,66,129.555,11,"active","non-churn"
"no complaint",760,28,71.52,3,"non-active","non-churn"
"no complaint",1875,37,747.54,6,"active","non-churn"
"no complaint",1903,20,829.035,8,"active","non-churn"
"no complaint",663,23,22.15,51,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",2320,45,94.6,6,"active","non-churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",5488,125,622.215,25,"active","non-churn"
"no complaint",8028,155,317.075,23,"active","non-churn"
"no complaint",1948,29,91.08,2,"active","non-churn"
"no complaint",3485,24,888.36,21,"active","non-churn"
"no complaint",0,0,0,0,"active","churn"
"no complaint",4180,71,290.04,19,"active","non-churn"
"no complaint",128,5,133.32,6,"non-active","non-churn"
"no complaint",2263,60,1628.92,26,"active","non-churn"
"no complaint",4008,66,367.07,37,"active","non-churn"
"no complaint",2203,58,223.245,35,"active","non-churn"
"no complaint",3585,82,374.68,30,"active","non-churn"
"no complaint",2170,39,1328.36,20,"active","non-churn"
"no complaint",8925,121,1037.84,45,"active","non-churn"
"no complaint",13583,169,650.08,46,"active","non-churn"
"no complaint",4325,83,284.32,27,"active","non-churn"
"no complaint",5728,95,360.92,14,"active","non-churn"
"no complaint",2048,54,216.08,19,"non-active","non-churn"
"no complaint",14950,225,923,34,"active","non-churn"
"no complaint",2905,27,2149.28,10,"active","non-churn"
"no complaint",15295,182,1483.965,32,"active","non-churn"
