"alcohol","density","free.sulfur.dioxide","residual.sugar","volatile.acidity","total.sulfur.dioxide","quality"
10.6,0.9938,33,2.1,0.18,187,1
13.3,0.9918,36,6.6,0.43,141,1
13.5,0.9896,35,2.7,0.44,128,1
10.1,0.9944,23,5.1,0.26,131,0
9.4,0.9999,62,17.55,0.66,233,0
10.6,0.9953,41,5.2,0.2,167,1
11.3,0.992,25,1.1,0.21,80,1
10.8,0.9925,20,1.1,0.18,73,1
10.4,0.9981,46,10.7,0.57,195,0
10.5,0.9952,48,5.15,0.26,160,1
9.3,0.9927,28,1.1,0.245,150,0
9.3,0.9927,24,1.1,0.245,152,1
12.2,0.9911,52,1.8,0.25,165,1
9.2,0.9936,58,1,0.16,150,0
10.3,0.9959,29,1.8,0.22,104,1
9.4,0.9946,28,1.4,0.18,157,1
10.2,0.9948,88,6.7,0.17,223,1
9,0.9955,65,6.8,0.29,212,1
9.3,0.9951,64,6.8,0.21,245,1
9.2,0.9952,63,7.1,0.23,236,1
9.4,0.9946,31,1.5,0.19,156,1
9.4,0.9946,28,1.4,0.18,157,1
9.5,0.9944,77.5,1.45,0.29,223,1
9.9,0.9938,15,1.2,0.14,73,0
11.1,0.9963,36,7.4,0.31,174,1
12.3,0.991,36,4.2,0.28,116,1
8.6,1.0003,45,14.6,0.22,163,1
9.4,0.9966,21,10.5,0.31,145,0
9.4,0.9993,55,13.8,0.35,190,1
8.6,1.0003,45,14.6,0.22,163,1
10.9,0.9938,23,1.1,0.5,126,0
9.4,0.9965,32,5.3,0.39,162,0
10.9,0.9938,23,1.1,0.5,126,0
9.4,0.9993,55,13.8,0.35,190,1
9.2,0.9938,20,1.5,0.22,132,1
8.6,1.0003,45,14.6,0.22,163,1
9.4,0.9966,21,10.5,0.31,145,0
10.8,0.9942,10,4.9,0.24,133,1
10.5,0.9928,14,1.9,0.27,153,1
12.5,0.991,29,1.7,0.16,140,1
12.1,0.9911,26,1.8,0.27,168,1
8.7,0.9977,51,10.7,0.31,147,0
12.7,0.9927,50,8.8,0.45,151,1
12.1,0.9911,26,1.8,0.27,168,1
12.5,0.991,29,1.7,0.16,140,1
11.4,0.9912,40,1.8,0.16,147,1
12.9,0.9907,35,1.6,0.21,110,1
12.8,0.9902,29,1.4,0.32,109,1
11.2,0.992,15,1.6,0.16,78,1
9.7,0.994,16,1.5,0.16,98,1
9.7,0.9966,54,9.2,0.23,191,1
10.3,0.993,14,1.1,0.17,79,1
11.6,0.993,10,4.3,0.39,102,0
11.6,0.993,10,4.2,0.41,102,0
9.7,0.9966,54,9.2,0.23,191,1
10.9,0.9942,30,5,0.38,131,1
12.6,0.9925,29,6.8,0.42,122,1
12.4,0.9925,45,5.2,0.34,163,1
11.5,0.9928,45,4.75,0.23,166,0
10.2,0.995,52,5.9,0.245,159,1
11.4,0.9939,51,7.7,0.2,176,0
9.6,0.9958,39,6.4,0.19,212,1
10.3,0.9952,60,8.1,0.2,163,1
9.3,1,61,17.35,0.59,228,0
10.7,0.9948,17,1.8,0.14,114,1
12.8,0.99,34,1.8,0.24,105,1
9.5,0.9958,23,1.5,0.14,142,0
10.4,0.9948,22,1.6,0.15,130,1
10.3,0.9949,14,1.6,0.17,94,1
9.9,0.997,37,13.5,0.365,142,1
10.7,0.9927,37,3.75,0.23,116,1
10.5,0.9938,16,1.3,0.25,160,0
9.6,0.9949,14,1.3,0.32,186,0
9.3,0.9953,46,6.2,0.31,169,1
10,0.997,63,9.7,0.2,162,1
11.2,0.9932,40,2,0.255,190,1
10.8,0.9927,21,1.4,0.15,177,0
10.3,0.9932,25,1.1,0.15,96,1
8.8,0.9955,59,6.6,0.25,234,0
12.8,0.9914,6,1.5,0.19,114,1
13.2,0.991,17,4.6,0.43,114,1
10.1,0.992,28,0.9,0.31,152,1
11,0.9924,40,1.7,0.2,161,0
10.8,0.9927,21,1.3,0.16,182,1
12.8,0.9911,28,2.3,0.32,114,1
9.2,0.9958,33,6.8,0.22,168,1
10.5,0.9928,44,1.5,0.26,167,1
11.7,0.9902,13,1.2,0.37,81,1
9.5,0.994,20,2.1,0.19,104,0
9.5,0.994,24,2.2,0.21,108,0
8.8,0.9972,24,8.8,0.15,110,1
9.3,1.0004,69,17,0.16,210,1
12.6,0.991,62,1.8,0.21,180,1
12.4,0.9918,26,1.2,0.24,107,1
10.1,0.995,60,2.3,0.21,189,1
11.2,0.9941,38,7,0.29,161,1
10,0.9956,40,6.4,0.18,251,0
10,0.9956,40,6.4,0.18,251,0
10.8,0.9959,37,12.15,0.58,116,1
10,0.9922,50,0.8,0.16,121,1
10.4,0.9931,13,2,0.54,151,0
10.8,0.9959,37,12.15,0.58,116,1
9.8,0.9984,52,12.4,0.25,181,1
12.2,0.9908,51,1.9,0.23,165,1
12.7,0.991,36,1.1,0.39,113,1
12.2,0.9928,46,6.2,0.46,163,1
11.9,0.9936,35,6.3,0.35,162,1
11.2,0.9941,38,7,0.29,161,1
10.4,0.9924,15,0.9,0.35,61,0
12.8,0.9917,22,3.9,0.57,122,1
12.7,0.9906,40,3.9,0.37,130,1
10.1,0.995,60,2.3,0.21,189,1
10,0.9956,40,6.4,0.18,251,0
9,0.9955,43,1.8,0.13,179,0
11.4,0.9907,38,1.1,0.19,143,0
8.9,1,55,15.4,0.22,191,1
9.3,0.9953,43,6.5,0.29,167,1
12,0.9911,35,2.4,0.35,103,1
10.8,0.9922,31,1.4,0.19,132,1
10.5,0.9951,56,5.7,0.12,158,1
10.6,0.9948,56,5.7,0.13,189.5,1
11.3,0.9906,42,1.4,0.25,115,1
9.5,0.994,15,1.4,0.32,96,0
11.4,0.9907,38,1.1,0.19,143,0
10.1,0.9927,35,1.2,0.13,140,1
10.9,0.9914,22,0.9,0.14,95,1
8.9,0.9958,19,3.8,0.27,115,0
8.9,1,55,15.4,0.22,191,1
9.3,0.9984,42,14.15,0.64,185,0
10.4,0.9941,23,1.9,0.28,116,1
12,0.9944,41,9.2,0.26,162,1
9.5,0.998,37,8.2,0.22,181,1
9.5,0.998,37,8.2,0.22,181,1
12.4,0.9902,24,2.7,0.23,121,1
11.2,0.9911,30,1.7,0.3,130,1
11.4,0.9929,6,1.7,0.27,134,1
11.4,0.993,10,1.7,0.28,136,1
11.1,0.9918,46,1.6,0.28,132,1
10.4,0.992,5,0.9,0.46,126,1
12,0.9932,36,8.5,0.38,152,1
12.3,0.992,24,5.7,0.43,98,1
9.1,0.994,28,3.1,0.56,92,1
10.5,0.9923,25,1.3,0.36,102,1
11.4,0.993,5,1.6,0.23,133,1
9.5,0.9956,26,1.3,0.33,138,0
13.7,0.9907,17,4.5,0.49,116,1
13.4,0.99,15,2.8,0.42,85,1
11.3,0.9918,12,1.2,0.18,143,1
10,0.9926,73,0.9,0.19,180,1
10.1,0.995,33,7.4,0.19,123,1
12.2,0.99,23,1.4,0.16,81,1
13.4,0.99,15,2.8,0.42,85,1
9.3,0.9946,19,4.6,0.135,101,1
13.7,0.9907,17,4.5,0.49,116,1
12.3,0.9898,27,1.6,0.19,98,1
11.3,0.9918,12,1.2,0.18,143,1
8.9,0.9986,35,13.1,0.25,200,1
8.9,0.9986,35,13.1,0.25,200,1
11.5,0.9928,32,5.7,0.2,83,1
8.9,0.9986,35,13.1,0.25,200,1
9.3,0.9979,57,12.6,0.67,222,1
11.1,0.994,31,5.4,0.4,122,1
10.9,0.9937,29,2.2,0.26,128,1
11.6,0.9938,11,6.6,0.31,73,0
10.2,0.9942,9,6.9,0.39,117,0
10.5,0.9944,12,6.8,0.22,90,1
11.4,0.993,16,3.6,0.19,78,1
8.9,0.9986,35,13.1,0.25,200,1
10.6,0.9932,29,1.2,0.2,118,1
11.6,0.9934,39,5.9,0.26,97,1
11.5,0.9928,32,5.7,0.2,83,1
12.3,0.9925,26,4.1,0.3,155,1
10.8,0.9944,22,7.1,0.29,124,1
11.3,0.9909,55,1.4,0.17,130,1
9.3,0.9932,22,0.8,0.415,63,0
10,0.9934,16,1.3,0.23,128,1
11,1.0001,35.5,15.55,0.55,366.5,0
10.2,0.992,18,1,0.35,132,0
10.8,0.9916,27,1.6,0.14,103,1
10.1,0.998,29,11.8,0.28,137,0
11.6,0.9919,17,4.5,0.18,90,1
9.1,0.9925,25,1.1,0.165,105,0
10,0.9977,36,10,0.25,225,0
10.8,0.9944,22,7.1,0.29,124,1
11.4,0.991,26,0.9,0.22,128,1
12.7,0.99,34,1,0.22,140,1
11.3,0.9917,35,1.1,0.25,156,0
10.4,0.9923,28,1.1,0.18,81,1
9.6,0.9928,18,1.5,0.22,87,0
10.1,0.9923,8,1,0.39,119,0
9.6,0.9928,18,1.5,0.22,87,0
12.1,0.9902,16,2.9,0.36,94,1
12.2,0.9893,32,1.2,0.29,99,1
11.3,0.9917,35,1.1,0.25,156,0
9.6,0.9982,19,14.2,0.23,94,0
9.2,1.0005,51,17.85,0.56,243,0
10.4,0.9923,28,1.1,0.18,81,1
9.5,0.9951,67,7.1,0.23,210,0
8.9,0.9956,67,7.6,0.25,226,0
8.8,0.998,56,13.6,0.26,162,0
10.5,0.9928,17,1.4,0.31,117,0
9.4,0.9938,27,1.2,0.25,117,0
12.2,0.9914,34,5.3,0.18,125,1
11.3,0.9955,37,13,0.43,158,1
12.2,0.9924,33,4.45,0.2,130,1
12.2,0.9911,35,1.2,0.27,92,1
11.2,0.9917,18,1.2,0.16,150,1
11.2,0.9917,18,1.2,0.16,150,1
11.5,0.9932,49,6.6,0.19,172,1
11.3,0.9955,37,13,0.43,158,1
9.3,0.9929,11,1.1,0.4,138,0
11.3,0.9955,37,13,0.43,158,1
11.8,0.9958,37,14,0.52,156,1
9.2,1.0012,50,19.8,0.21,231,0
9.2,0.9968,44,11.2,0.34,150,0
12.2,0.9911,35,1.2,0.27,92,1
12.2,0.9924,33,4.45,0.2,130,1
12.2,0.991,42,2.7,0.22,144,1
10.6,0.9946,27,4.5,0.11,133,1
12.4,0.9928,29,3.6,0.17,128,1
10.8,0.9946,54,5.4,0.145,164,1
11.2,0.9917,18,1.2,0.16,150,1
11,0.9918,11,1.2,0.19,137,1
12.7,0.9926,46,9.1,0.44,151,1
10.2,0.9931,19,0.8,0.2,163,0
11.5,0.9932,49,6.6,0.19,172,1
12.3,0.9903,30,3,0.25,96,1
9.8,0.9928,15,1.6,0.24,60,0
9.3,0.9929,11,1.1,0.4,138,0
11.8,0.9958,37,14,0.52,156,1
11.3,0.9955,37,13,0.43,158,1
11.4,0.9911,6,1.35,0.21,48,0
10.8,0.9938,39,5.9,0.2,128,1
9.5,0.9942,13,3.6,0.25,85,0
10.2,0.9945,18,1.3,0.08,148,1
10.7,0.9962,40,8.7,0.85,184,0
10.8,0.992,10,1.2,0.51,104,1
11.5,0.9927,39,4.6,0.22,159,1
10.7,0.9948,20,2,0.16,124,1
10.2,0.9945,18,1.3,0.08,148,1
10.1,0.9942,26,1.7,0.25,124,1
10.4,0.9952,57,2.4,0.16,187,1
9.5,0.9942,13,3.6,0.25,85,0
9.1,0.9958,8,4.6,0.32,134,0
10.6,0.9918,20,1.5,0.28,126,1
9.4,0.9932,17,0.9,0.15,51,1
9.8,1.0004,44,19.4,0.25,169,1
9.5,0.9972,68,13.3,0.26,224,1
9.3,0.9998,52,17.85,0.16,187,0
10.3,0.9918,28,1.1,0.185,117,1
11.1,0.9918,8,1.3,0.2,97,0
10,0.9964,47,9.4,0.3,188,0
12.3,0.9936,39,9,0.34,180,1
12.4,0.9931,42,8.65,0.35,186,1
12.3,0.9938,45,9.6,0.29,197,1
10.4,0.9934,6,1.1,0.62,62,0
12.1,0.99,35,1.2,0.27,126,1
12.5,0.9914,23,1.8,0.27,86,1
13,0.9904,14,2.1,0.51,155,1
11,0.994,26,9.3,0.19,132,1
10.1,0.9938,34,1.7,0.2,169,0
9.2,0.9933,17,1.2,0.3,121,0
12.6,0.9909,24,4.6,0.36,124,1
12.2,0.9942,24,12.8,0.17,126,1
9.8,0.9945,39,1.5,0.18,130,1
11,0.9954,51,8.1,0.2,205,1
10,0.996,59,7.5,0.26,160,1
9.8,0.9991,50,14.5,0.21,170,1
10.5,0.993,15,1.6,0.2,144,0
10,0.9942,10,1.8,0.18,145,0
11.2,0.9934,15,3.2,0.23,126,1
11,0.9939,29,9.4,0.22,134,1
11.2,0.9937,48,9.9,0.22,161,1
11,0.994,26,9.3,0.19,132,1
10.5,0.9926,34,1.3,0.155,136,1
10.6,0.9951,53,9.6,0.22,154,1
10.6,0.9952,52,9.3,0.24,163,1
12,0.9935,22,7.8,0.23,95,1
10.1,0.9938,34,1.7,0.2,169,0
10.1,0.9939,38,1.7,0.2,167,1
9.2,0.9933,17,1.2,0.3,121,0
11,0.9927,15,1.4,0.21,164,0
10,0.998,31,9,0.25,185,1
8.7,0.9997,41,18.15,0.21,158,1
8.7,0.9981,47,12.5,0.27,156,0
11.1,0.992,33,1.1,0.27,156,1
11,0.9954,48,7.7,0.28,195,1
11.1,0.992,33,1.1,0.27,156,1
8.7,0.9997,41,18.15,0.21,158,1
8.7,0.9981,47,12.5,0.27,156,0
11.2,0.9943,26,8.1,0.3,174,1
11.1,0.9941,61,7.7,0.23,209,1
10.8,0.9936,32,5,0.26,107,1
9,0.9996,44,15.6,0.18,176,1
10.3,0.9932,17,1.5,0.15,122,1
9.9,0.9926,6,1,0.13,24,0
10,0.9936,32,1,0.28,148,1
9.8,0.992,26,1,0.17,106,1
10.8,0.9936,32,5,0.26,107,1
9,0.9996,44,15.6,0.18,176,1
9.1,0.993,29,0.8,0.53,86,0
10.6,0.9924,27,1.3,0.16,104,1
10.6,0.9928,28,1.1,0.14,99,1
9.9,0.9926,6,1,0.13,24,0
10.6,0.9952,33,5.2,0.12,152,1
9.9,0.9945,35,4.7,0.29,156,1
9.9,0.9945,36,4.8,0.3,158,1
12.8,0.9903,32,1.8,0.36,102,1
10.3,0.9932,17,1.5,0.15,122,1
10.6,0.9953,36,5.2,0.18,157,1
8.7,0.9936,45,1.2,0.19,129,1
12.6,0.9912,44,1.8,0.21,152,1
11,0.9962,25,7.6,0.3,156,1
11.2,0.9965,32,8.2,0.42,164,1
10.7,0.9932,35,1.3,0.24,148,1
9.6,0.9967,45,10,0.23,182,1
10.6,0.9953,36,5.2,0.18,157,1
9,0.9963,12,6.4,0.43,115,0
10.5,0.992,14,1,0.35,56,0
12.8,0.991,33,1.8,0.3,156,1
10.1,0.9958,10,2,0.28,112,0
12.2,0.99,26,1.5,0.34,126,1
12.8,0.991,33,1.8,0.3,156,1
10.1,0.9958,10,2,0.28,112,0
10.1,0.9938,29,3.5,0.19,117,1
9.2,0.9996,36,18.05,0.18,158,0
9.9,0.9946,19,1.8,0.19,110,0
9.7,0.9974,49,8.2,0.3,188,1
9.9,0.9945,35,5,0.3,157,0
9.9,0.9946,36,4.6,0.3,159,0
9.7,0.9974,49,8.2,0.3,188,1
10.3,0.9957,50,7,0.22,168,1
10.3,0.9931,21,3.1,0.26,116,0
10.5,0.9947,23,8.8,0.17,108,0
10.5,0.9953,61,2.4,0.17,182,1
9.8,0.9931,20,1.4,0.27,74,1
10.6,0.9946,17,1.8,0.64,128,0
10.1,0.9978,54,11.9,0.18,168,0
9,0.9989,50,13.4,0.31,191,0
9.5,1.0004,13,15.4,0.31,119,0
11.5,0.9938,32,7.2,0.3,84,1
11.9,0.9934,46,7.4,0.24,108,1
10.1,0.9978,54,11.9,0.18,168,0
9.2,0.9956,52,7.8,0.25,209,1
8.7,0.9982,46,13.5,0.3,165,0
9.8,0.9948,34,1.3,0.31,147,0
9.2,0.9956,52,7.8,0.25,209,1
8.7,0.9982,46,13.5,0.3,165,0
11.2,0.9926,27,1.5,0.27,122,1
12.3,0.991,30,1.2,0.14,165,1
10.4,0.9945,49,6.4,0.12,161,1
10.7,0.9916,25,1.2,0.21,111,1
10.5,0.9953,9,7.3,0.16,63,1
9.4,0.9938,37,3.8,0.29,136,1
9.2,0.9956,53,7.3,0.27,206,1
11.9,0.9906,56,2.7,0.55,122,0
9.2,0.9956,53,7.3,0.27,206,1
9.9,0.9932,24,1.4,0.24,108,1
11.4,0.9914,20,1.6,0.33,94,1
9.4,0.9938,37,3.8,0.29,136,1
10.7,0.996,55,8,0.34,223,1
12.7,0.9906,27,4.7,0.39,77,0
13.5,0.98815,10,1.9,0.41,53,1
9.5,0.9942,39,2.8,0.41,137,0
12.9,0.9903,31,2.2,0.26,113,1
12.5,0.9906,44,1.7,0.32,109,1
9.5,0.9935,44,4.9,0.19,118,1
8.6,1.0024,59,23.5,0.27,235,0
10,0.9968,46,11.8,0.2,212,1
12.5,0.9906,44,1.7,0.32,109,1
10.1,0.9941,19,5.2,0.26,100,1
11.3,0.9919,28,3.2,0.26,87,1
10.6,0.9928,42,1.5,0.14,120,1
10.8,0.9958,40,11.7,0.29,131,0
10.7,0.9932,42,1.6,0.19,140,1
9,0.9957,61,7.3,0.34,206,1
9.2,0.9937,17,1.6,0.2,143,1
8.5,0.9982,53,13.3,0.37,243,1
11.3,0.9928,31,6,0.22,128,1
11.3,0.9919,28,3.2,0.26,87,1
9.4,0.9956,17,1.6,0.32,131,0
8.7,0.9957,16,7.7,0.44,169,1
9.4,0.9954,22,5.9,0.14,118,1
10.5,0.993,46,1,0.17,131,1
9.7,0.9954,37,6.4,0.26,161,1
10.2,0.9987,52,10.4,0.22,195,1
9.4,0.9956,17,1.6,0.32,131,0
11.5,0.9928,14,3.5,0.2,108,1
9.6,0.9951,21,7.7,0.15,98,1
11.4,0.993,6,1.8,0.25,121,0
11.5,0.9928,14,3.5,0.2,108,1
12.2,0.9926,28,6.5,0.28,111,1
11,0.9938,15,6.7,0.19,110,1
9.2,1.0001,50,16.8,0.25,228,1
10.2,0.9933,21,1.6,0.14,126,1
10,0.9952,29,7,0.49,149,0
9.7,0.9934,43,1.2,0.12,160,1
9.2,0.9988,42,13,0.47,220,0
10.5,0.993,26,3.8,0.22,105,0
10,0.9952,29,7,0.49,149,0
10.1,0.9948,42,7.5,0.22,151,1
9.1,0.9998,50,15.55,0.19,134,1
10.2,0.9971,50,12.3,0.3,144,1
9.1,0.9998,50,15.55,0.19,134,1
10.5,0.9962,50,9.4,0.24,149,1
10.1,0.9948,42,7.5,0.22,151,1
12.1,0.99,20,1.2,0.21,99,1
10.2,0.9942,31,1.6,0.3,100,0
9.4,0.9965,39,1.6,0.26,166,0
12.8,0.9912,27,3.95,0.31,131,1
9,0.9978,48,12.8,0.42,209,1
10.9,0.9928,29,1,0.29,118,0
8.8,1.0103,35,31.6,0.33,176,1
9,0.9956,19,7.4,0.46,184,0
10.2,0.9936,27,1.3,0.28,142,0
9.2,0.9929,21,1.1,0.15,98,0
11.3,0.9966,34,7.8,0.4,162,1
8.8,0.9964,52,7.7,0.31,220,0
9.3,0.996,53,7.7,0.325,217,0
9.4,0.9959,62,7.8,0.27,217,1
10.3,0.9954,54,8.3,0.26,191,1
10.8,0.9914,30,1.4,0.21,114,1
8.8,1.0103,35,31.6,0.33,176,1
9,1.0004,32,15.4,0.28,177,0
11.5,0.9911,48,1,0.13,114,1
10.8,0.9938,8,1,0.445,84,0
11.8,0.9927,33,5.9,0.39,128,1
10.5,0.9922,20,1.2,0.18,72,1
9.9,0.9924,10,1.2,0.31,124,1
9.8,0.9963,33,6.7,0.24,160,1
11.4,0.9936,27,6.5,0.35,87,1
9.3,0.9951,41,4.8,0.26,168,0
9.3,0.9951,35,5.3,0.27,163,0
10.3,0.9955,82,8.9,0.22,188,1
8.9,0.9961,65,8.8,0.27,224,0
11.4,0.9936,27,6.5,0.35,87,1
11.1,0.992,60,1.8,0.23,156,1
10.4,0.9944,42,6.6,0.3,170,1
10.1,0.9944,18,5.7,0.35,117,0
9,1.0008,44,18.35,0.32,197,0
11.9,0.9962,49,10,0.31,212,1
9,0.9986,55,14.4,0.25,205,1
9,0.9986,55,14.4,0.25,205,1
9.1,1,41.5,17.85,0.26,195,1
9,0.9986,55,14.4,0.25,205,1
10,0.9982,42,9.4,0.26,147,0
9.1,1,41.5,17.85,0.26,195,1
9.4,0.9949,118.5,1.55,0.25,216,0
11.4,0.9915,28,1.3,0.16,123,1
9.7,0.9951,7,1.5,0.43,175,0
9,0.9986,55,14.4,0.25,205,1
11.8,0.9927,41,4.2,0.24,213,1
10.2,0.9955,54,8.6,0.265,198,0
9.2,0.9952,47,1.4,0.12,150,1
11,0.9928,35,3,0.21,132,1
10,0.9982,47,14.9,0.32,190,1
12.2,0.9914,39,2,0.18,190,1
11.8,0.9927,41,4.2,0.24,213,1
11.6,0.9918,35,2.2,0.26,175,1
10.2,0.9944,25,1.8,0.26,121,1
10.3,0.9969,43,11.1,0.29,208,0
8.6,0.9955,6,4.2,0.27,114,0
9.6,0.9954,27,6.4,0.33,151,0
9.6,0.9955,25,6.4,0.31,148,0
11.3,0.9921,32,1.5,0.25,127,1
9.9,0.9934,38,1.5,0.24,157,1
9.6,0.9998,48,16.95,0.26,179,0
10.6,0.9946,25,1.7,0.61,161,0
9.8,0.9984,50,13.6,0.22,180,0
10.5,0.9924,10,1.6,0.31,67,0
10.8,0.9939,31,6.1,0.2,120,0
10,0.995,25,3,0.18,178,1
10.1,0.9957,23,6.2,0.34,136,1
9.4,0.9953,35,6.6,0.3,116,0
11.5,0.9912,43,1.6,0.18,148,1
10.8,0.9939,29,6,0.21,108,1
9.9,0.9921,19,1.5,0.27,142,1
9,0.9954,28,1.7,0.2,178,0
9.4,0.9933,24,1.8,0.23,69,1
10.8,0.9941,30,2.6,0.2,180,1
10.9,0.995,24,2.7,0.15,190,1
12,0.9977,33,19.5,0.4,148,1
11.5,0.9912,43,1.6,0.18,148,1
10.5,0.9945,31,5,0.13,122,1
9.3,0.9952,55,4.6,0.17,152,1
11.8,0.9924,28,6.4,0.3,97,1
10,0.9986,68,14.5,0.445,212,1
9.4,0.9953,35,6.6,0.3,116,0
11.4,0.9939,45,6.7,0.22,138,1
10.4,0.9929,40,1.1,0.23,99,1
9.5,0.9988,68,13.8,0.34,198,1
11.9,0.9906,48,2.5,0.545,111,0
11.1,0.9914,49,1.1,0.3,123,1
9.6,0.9978,50,9.6,0.16,185,1
12,0.9928,56,4.6,0.32,178,1
8.7,0.9948,15,3.1,0.22,104,0
9.6,0.9978,50,9.6,0.16,185,1
10,0.9946,19,1.8,0.15,101,0
11.4,0.9908,4,1.05,0.29,55,0
9.6,0.9954,23,6.5,0.37,150,1
12.9,0.9906,28,2,0.38,152,1
9.7,0.99705,47,14.9,0.25,142,1
9.3,0.9982,33,10,0.3,169,1
9.1,0.9932,52,1.1,0.22,136,0
8.6,0.9977,46,12,0.34,238,0
9.9,0.994,33,4.8,0.22,87,0
9.3,0.9982,33,10,0.3,169,1
10.9,0.9929,20,1.2,0.27,102,0
10.2,0.9924,45,1.5,0.17,135,1
9.7,0.9966,44,10.4,0.18,174,1
11.4,0.9921,40,2.5,0.16,153,1
9.5,0.9967,53,12.3,0.255,197,1
10.2,0.9934,43,1.4,0.23,141,1
11.1,0.9914,33,2.2,0.16,93,1
9.7,0.99705,47,14.9,0.25,142,1
9.3,0.9961,54,8,0.27,202,0
8.8,0.9967,56,8.6,0.29,215,0
10.6,0.9926,12,1.2,0.21,53,0
9.3,0.99605,81,8.7,0.62,224,0
10.2,0.99435,67,5.4,0.28,181,1
10.2,0.9948,31,5.7,0.3,124,1
11,0.9916,20,1.5,0.17,98,1
9.6,0.997,18,10.9,0.21,112,1
9.3,0.9961,54,8,0.27,202,0
8.8,0.9967,56,8.6,0.29,215,0
8.8,0.9961,56,7.7,0.32,209,0
8.9,0.9955,50,1.7,0.32,179,0
10,0.9922,58,1.4,0.37,144,0
12.2,0.9918,33,4.5,0.43,102,1
10.9,0.9955,33,9.9,0.39,181,1
9.5,0.9941,40,1.4,0.18,141,1
10.9,0.9955,32,9.5,0.4,178,1
10.9,0.9955,33,9.9,0.39,181,1
10.8,0.9924,33,3,0.19,99,1
12,0.9973,28,19.6,0.49,135,1
9.8,0.999,42,14,0.25,163,0
9.5,0.9941,40,1.4,0.18,141,1
11,0.9922,43,1.8,0.15,150,1
11,0.9922,43,1.8,0.15,150,1
9.8,0.9953,47,5.4,0.17,150,0
10.5,0.9945,13,1.8,0.32,200,0
11.4,0.9945,73,9.25,0.21,142,1
10.1,0.9957,17,1.5,0.45,100,1
11.6,0.9932,54,6.8,0.24,127,1
11.4,0.9945,73,9.25,0.21,142,1
11.8,0.9913,29,2.6,0.33,115,1
12.1,0.9909,50,2.1,0.26,158,1
12,0.9939,37,7.6,0.36,122,0
12.1,0.991,26,1.6,0.2,189,1
9.1,0.9954,26,1.4,0.16,176,0
9.3,0.9943,25,1.6,0.33,117,0
10.4,0.993,21,1.4,0.22,153,1
9.1,1.0002,42,17.95,0.35,187,0
9.4,0.9946,23,2,0.37,120,0
9.6,0.9953,22,6.3,0.37,149,1
12,0.9918,27,1.4,0.37,126,0
11.3,0.9936,37,9.05,0.25,128,1
8.7,0.9984,56,15.4,0.23,173,1
9.9,0.9956,35,7.1,0.26,162,1
9.3,0.9966,57,10.2,0.3,191,1
9.5,0.9942,14,1.6,0.16,67,0
8.7,0.9984,56,15.4,0.23,173,1
9.9,0.9956,35,7.1,0.26,162,1
9.3,0.9966,57,10.2,0.3,191,1
9.4,0.9974,29,12.4,0.33,119,0
9.4,0.9944,9,3.4,0.38,116,0
8.8,1.0008,60,15,0.2,184,1
9.4,0.9974,29,12.4,0.33,119,0
8.8,1.0008,60,15,0.2,184,1
9.9,0.9928,39,1.5,0.36,184,1
9.4,0.9944,9,3.4,0.38,116,0
12.6,0.9908,24,4.8,0.46,72,1
11.1,0.9917,18,1.2,0.15,110,1
12.8,0.9911,31,4.1,0.42,100,1
12,0.9912,10,2.8,0.3,164,1
12,0.9953,34,13.9,0.27,131,1
9.2,0.9932,46,0.8,0.5,114,0
12.3,0.9896,27,1,0.26,96,1
13,0.9889,38,1.2,0.33,131,1
12,0.9912,10,2.8,0.3,164,1
10.9,0.9926,23,1.7,0.29,110,0
12.8,0.9911,31,4.1,0.42,100,1
10,0.9964,34,6.3,0.19,231,1
9,0.9974,35,11.5,0.32,165,0
10.4,0.9944,13,1.5,0.32,84,0
9,0.9974,35,11.5,0.32,165,0
10,0.9964,34,6.3,0.19,231,1
10,0.9963,35,6.3,0.17,240,1
11.3,0.9948,41,11.2,0.44,167,1
11.3,0.9948,41,11.2,0.44,167,1
12,0.9953,34,15.1,0.49,153,1
11.3,0.9948,41,11.2,0.44,167,1
12,0.9953,34,15.1,0.49,153,1
10.6,0.9949,43,5.6,0.21,160,1
9.3,0.9988,37,12.6,0.55,213,0
9.4,0.9954,27,5.7,0.19,104,1
11,0.992,37,2.2,0.24,102,1
9.3,0.9984,53,11,0.34,247,1
9.4,0.9954,27,5.7,0.19,104,1
10.5,0.9926,24,1,0.18,164,0
11,0.992,37,2.2,0.24,102,1
9.5,0.9976,96,11.8,0.18,249,1
11.2,0.9972,32,7.8,0.28,139,1
12.3,0.991,21,4.7,0.34,94,1
9,0.998,44,11.5,0.44,157,0
9,0.9966,62,7.9,0.26,180,0
9,0.998,44,11.5,0.44,157,0
9,1.0007,34,17.8,0.49,243,0
11.4,0.992,48,1.7,0.24,189,1
11,0.9925,50,1.6,0.25,181,1
12.3,0.991,21,4.7,0.34,94,1
10.4,0.9934,36,1.6,0.18,127,1
10.3,0.9955,16,2.4,0.27,107,0
10.5,0.9944,44,6.4,0.24,172,1
9.8,0.9981,83,14,0.22,197,1
10,0.9968,34,1.6,0.91,181,0
9.7,0.9946,13,1.6,0.34,176,0
9.7,0.9946,14,1.4,0.33,171,0
9.8,0.9981,83,14,0.22,197,1
10.5,0.9946,57,4.7,0.18,161,1
10,0.997,78,10.2,0.2,186,1
11.5,0.9924,22,2.3,0.13,104,1
